Running vlog95 compiler/VVP tests for Icarus Verilog version: 0.10.
----------------------------------------------------------------------------
                      case1: Passed.
                      case2: Passed.
                      case4: Passed.
                      case5: Passed.
             case5-syn-fail: Passed.
                      case6: Passed.
                      case7: Passed.
                    condit1: Passed.
                 basiclatch: Passed.
                 basicstate: Passed.
                basicstate2: Passed.
                   multireg: Passed.
                blocksynth1: Passed.
                blocksynth2: Passed.
                blocksynth3: Passed.
               conditsynth1: Passed.
               conditsynth2: Passed.
               conditsynth3: Passed.
                 casesynth1: Passed.
                 casesynth2: Passed.
                 casesynth3: Passed.
                  lcatsynth: Passed.
                   dffsynth: Passed.
                  dffsynth2: Passed.
                  dffsynth3: Passed.
                  dffsynth4: Passed.
                sqrt32synth: Passed.
                  memsynth1: Passed.
                  memsynth2: Passed.
                  memsynth3: Passed.
                  memsynth4: Passed.
                  memsynth5: Passed.
                  memsynth6: Passed.
                  memsynth7: Passed.
                  memsynth9: Passed.
                   ssetclr1: Passed.
                   ssetclr2: Passed.
                   ssetclr3: Passed.
               inside_synth: Passed.
              inside_synth2: Passed.
              inside_synth3: Passed.
                  mix_reset: Passed.
                casex_synth: Passed.
                  full_case: Passed.
          automatic_error11: Not Implemented.
          automatic_error12: Not Implemented.
          automatic_error13: Not Implemented.
           automatic_events: Not Implemented.
          automatic_events2: Not Implemented.
          automatic_events3: Not Implemented.
      automatic_events3_std: Not Implemented.
                    sdw_int: Passed.
             sdw_lvalconcat: Passed.
            sdw_lvalconcat2: Passed.
                 sdw_param1: Passed.
                 sdw_param2: Passed.
                sdw_release: Passed.
                sdw_stmt002: Passed.
                  sdw_task1: Passed.
                  sdw_task2: Passed.
                  task3.14A: Passed.
                  task3.14B: Passed.
                  task3.14C: Passed.
                  task3.14D: Passed.
                  task3.14E: Passed.
                  task3.14F: Passed.
                         z1: Passed.
                         z2: Passed.
                 contrib8.3: Passed - CE.
                 contrib8.4: Passed.
                 integer1lt: Passed.
                 integer2le: Passed.
                 integer3gt: Passed.
                 integer4ge: Passed.
                      land2: Passed.
                      land3: Passed.
                      land4: Passed.
                      land5: Passed.
                    landor1: Passed.
                       talu: Passed.
                      time2: Passed.
                      time1: Passed.
                     vardly: Passed.
                 lh_varindx: Passed.
               always3.1.6D: Passed.
                      time3: Passed.
                      time4: Passed.
                      time5: Passed.
                      time6: Passed.
                      time7: Passed.
                      time8: Passed.
                 timescale1: Passed.
                 timescale2: Passed.
                 timescale3: Passed - CE.
                   udp_bufg: Passed.
                  udp_bufg2: Passed.
                   udp_jkff: Passed.
                      udp_x: Passed.
                     udp_bx: Passed.
                  udp_sched: Passed.
                    udp_dff: Passed.
                udp_dff_std: Passed.
                   wireadd1: Passed.
                   wiremod1: Passed.
                     wiresl: Passed.
                    wiresl2: Passed.
                     wiresr: Passed.
                   wiresub1: Passed.
                   wirexor1: Passed.
                     wirele: Passed.
                     wirege: Passed.
                     wireeq: Passed.
                     ga_and: Passed.
                      ga_or: Passed.
                     ga_xor: Passed.
                    ga_xnor: Passed.
                    ga_nand: Passed.
                     ga_nor: Passed.
                    andnot1: Passed.
                  constmult: Passed.
                   constadd: Passed.
                  constadd2: Passed.
                  constadd3: Passed.
                  consttern: Passed.
                     qmark6: Passed.
                    muxtest: Passed.
                       fifo: Passed.
                  event3.15: Passed.
                     event2: Passed.
                     event3: Passed.
                  unary_and: Passed.
                unary_minus: Passed.
               unary_minus1: Passed.
               unary_minus2: Passed.
               unary_minus3: Passed.
               unary_minus4: Passed.
                 unary_nand: Passed.
                unary_nand2: Passed.
                  unary_not: Passed.
                   unary_or: Passed.
                  unary_nor: Passed.
                 unary_nor2: Passed.
